,artist,track_number,id,name,uri,release_date,duration_ms,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,owner,date_till_now
16,Sunset Rollercoaster,2,1tgaW3ZnfYWJhPkCZeOJ4O,Vanilla,spotify:track:1tgaW3ZnfYWJhPkCZeOJ4O,2019-05-01,151282,45,0.578,0.523,0.439,0.49,0.558,-9.165,0.027,131.999,0.464,1,Sophia,1.3753424657534246
17,Yazoo,6,15Mh8m2BGTUptR8yy7fNAS,Only You,spotify:track:15Mh8m2BGTUptR8yy7fNAS,1982-07-01,194173,66,0.332,0.752,0.307,0.000135,0.0829,-17.063,0.0398,106.158,0.854,1,Sophia,38.23287671232877
18,deca joins,2,0hSgoJJQbYER9D9X2gGjsG,夏夜晚風 (Live),spotify:track:0hSgoJJQbYER9D9X2gGjsG,2020-06-01,257625,45,0.771,0.29,0.245,0.281,0.0902,-14.053,0.0323,109.859,0.0374,1,Sophia,0.2876712328767123
19,Waa Wei,8,4nyO1azSuhT5JrETvzEahs,你啊你啊 - 電視劇「用九柑仔店」插曲,spotify:track:4nyO1azSuhT5JrETvzEahs,2016-11-25,326226,55,0.903,0.585,0.187,0.0,0.0929,-12.514,0.0364,123.862,0.179,1,Sophia,3.8054794520547945
20,Hebe Tien,6,7HV1h4uP7xKd4eTBzVsgKx,灵魂伴侣,spotify:track:7HV1h4uP7xKd4eTBzVsgKx,2016-07-13,280165,33,0.906,0.436,0.222,0.0,0.11,-11.672,0.0357,129.165,0.216,1,Sophia,4.175342465753425
21,The Cranberries,1,1AWXiUQjoQfcmqaBEtaOoL,Ode To My Family,spotify:track:1AWXiUQjoQfcmqaBEtaOoL,1994-10-03,270706,70,0.0598,0.364,0.45,1.57e-06,0.282,-10.117,0.0234,94.188,0.139,1,Sophia,25.96712328767123
22,Sunset Rollercoaster,1,0mqCCFtqGfOcRIM5cktdHt,我是一隻魚 I'm a Fish,spotify:track:0mqCCFtqGfOcRIM5cktdHt,2020-01-09,264881,40,0.76,0.427,0.405,0.0768,0.112,-9.671,0.0302,166.103,0.479,0,Sophia,0.6821917808219178
23,Kurt Cobain,9,7x4b0UccXSKBWxWmjcrG2T,And I Love Her,spotify:track:7x4b0UccXSKBWxWmjcrG2T,2015-11-13,124933,58,0.983,0.616,0.282,0.833,0.13,-15.317,0.0331,96.638,0.435,1,Sophia,4.841095890410959
24,Nirvana,12,16LgXyNShQbrqBRF4TT1Sr,Something In The Way,spotify:track:16LgXyNShQbrqBRF4TT1Sr,1991-09-26,232146,67,0.745,0.427,0.201,0.263,0.109,-13.044,0.0317,105.218,0.0668,1,Sophia,28.98904109589041
25,告五人,1,1JBs3pMTNgz0t8FEIVV5t5,愛人錯過,spotify:track:1JBs3pMTNgz0t8FEIVV5t5,2019-06-14,292074,52,0.03,0.55,0.922,9.79e-05,0.14,-3.857,0.0387,140.042,0.501,1,Sophia,1.2547945205479452
26,告五人,1,75Rm8fulB9P9O6F7hdXNcE,披星戴月的想你,spotify:track:75Rm8fulB9P9O6F7hdXNcE,2018-10-30,349003,59,0.198,0.695,0.314,0.000863,0.121,-14.956,0.0349,100.0,0.382,1,Sophia,1.8767123287671232
